"","","","",""
"","","","",""
"","Tabel Produksi","","",""
"","","","",""
"","produksi_id","produk_id","jumlah","tanggal"
"","1","1","500.00","12/1/2024"
"","2","2","600.00","12/2/2024"
"","3","3","700.00","12/3/2024"
"","4","4","800.00","12/4/2024"
"","5","5","550.00","12/5/2024"
"","6","6","600.00","12/6/2024"
"","7","7","650.00","12/7/2024"
"","8","8","400.00","12/8/2024"
"","9","9","450.00","12/9/2024"
"","10","10","500.00","12/10/2024"
"","11","11","700.00","12/11/2024"
"","12","12","750.00","12/12/2024"
"","13","13","600.00","12/13/2024"
"","14","14","650.00","12/14/2024"
"","15","15","800.00","12/15/2024"
"","16","16","500.00","12/16/2024"
"","17","17","750.00","12/17/2024"
"","18","18","650.00","12/18/2024"
"","19","19","400.00","12/19/2024"
"","20","20","500.00","12/20/2024"
